Selector,Model,Accuracy,Precision,Recall,F1 Score,AUC,Selected Features,Tuned,Tuning Info
None,LogReg,0.8315217391304348,0.8736842105263158,0.8137254901960784,0.8426395939086294,0.9078192252510762,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__C': np.float64(0.17066305219717406), 'model__penalty': 'l2', 'model__solver': 'newton-cg'}, 'best_score': np.float64(0.9002196925784801)}"
None,DecTree,0.782608695652174,0.8163265306122449,0.7843137254901961,0.8,0.8874342419894788,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 4, 'model__min_samples_split': 15}, 'best_score': np.float64(0.8337929983410287)}"
None,RandForest,0.8641304347826086,0.8737864077669902,0.8823529411764706,0.8780487804878049,0.9374701099952176,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__n_estimators': 300, 'model__min_samples_split': 5, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 20}, 'best_score': np.float64(0.8878559490085843)}"
None,SVM,0.842391304347826,0.8762886597938144,0.8333333333333334,0.8542713567839196,0.9164873266379723,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__C': np.float64(3.9610263780077424), 'model__gamma': 'scale', 'model__kernel': 'linear'}, 'best_score': np.float64(0.8997471234501276)}"
None,KNN,0.842391304347826,0.8842105263157894,0.8235294117647058,0.8527918781725888,0.9170253467240554,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__n_neighbors': 11, 'model__p': 2, 'model__weights': 'distance'}, 'best_score': np.float64(0.8919620517097582)}"
None,XGBoost,0.8315217391304348,0.8446601941747572,0.8529411764705882,0.848780487804878,0.9329268292682927,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__subsample': 0.9, 'model__n_estimators': 100, 'model__max_depth': 3, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.9}, 'best_score': np.float64(0.8930582039135736)}"
None,Voting,0.842391304347826,0.8543689320388349,0.8627450980392157,0.8585365853658536,0.9225251076040172,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__weights': [1, 1, 1, 1, 1, 1]}, 'best_score': np.float64(0.8890546830661958)}"
None,Stacking,0.8260869565217391,0.8365384615384616,0.8529411764705882,0.8446601941747572,0.9139167862266857,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",False,No tuning performed
None,WeightedVoting,0.8478260869565217,0.87,0.8529411764705882,0.8613861386138614,0.9210903873744619,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",False,No tuning performed
None,TieredStacking,0.842391304347826,0.8613861386138614,0.8529411764705882,0.8571428571428571,0.9305356288857006,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",False,No tuning performed
None,AdvancedStacking,0.8641304347826086,0.8737864077669902,0.8823529411764706,0.8780487804878049,0.9354375896700143,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'src_cleveland', 'src_hungarian', 'src_switzerland', 'src_va']",False,No tuning performed
Chi2,LogReg,0.8369565217391305,0.875,0.8235294117647058,0.8484848484848485,0.9077594452415113,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__C': np.float64(2.501456187781931), 'model__penalty': 'l2', 'model__solver': 'sag'}, 'best_score': np.float64(0.8865497497612086)}"
Chi2,DecTree,0.7934782608695652,0.82,0.803921568627451,0.8118811881188119,0.8670492587278815,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 9, 'model__min_samples_split': 13}, 'best_score': np.float64(0.8370554566774661)}"
Chi2,RandForest,0.8586956521739131,0.8725490196078431,0.8725490196078431,0.8725490196078431,0.9348995695839312,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10}, 'best_score': np.float64(0.8722198979057226)}"
Chi2,SVM,0.8315217391304348,0.865979381443299,0.8235294117647058,0.8442211055276382,0.9085963653754185,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'best_params': {'model__C': np.float64(3.49271245896191), 'model__gamma': 'scale', 'model__kernel': 'linear'}, 'best_score': np.float64(0.8870258984883918)}"
