Selector,Model,Accuracy,Precision,Recall,F1 Score,AUC,Selected Features,Tuned,Tuning Info
None,LogReg,0.8315217391304348,0.8736842105263158,0.8137254901960784,0.8426395939086294,0.9078192252510762,['[No selector to extract from]'],True,"{'model__C': np.float64(0.17066305219717406), 'model__penalty': 'l2', 'model__solver': 'newton-cg'}"
None,DecTree,0.7934782608695652,0.7909090909090909,0.8529411764705882,0.8207547169811321,0.873206599713056,['[No selector to extract from]'],True,"{'model__max_depth': 5, 'model__max_features': 'log2', 'model__min_samples_leaf': 9, 'model__min_samples_split': 18}"
None,RandForest,0.8641304347826086,0.8666666666666667,0.8921568627450981,0.8792270531400966,0.9353180296508847,['[No selector to extract from]'],True,"{'model__n_estimators': 100, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 30}"
None,SVM,0.842391304347826,0.8762886597938144,0.8333333333333334,0.8542713567839196,0.9166068866571019,['[No selector to extract from]'],True,"{'model__C': np.float64(5.347564316322378), 'model__gamma': 'scale', 'model__kernel': 'linear'}"
None,KNN,0.8315217391304348,0.8514851485148515,0.8431372549019608,0.8472906403940886,0.908775705404113,['[No selector to extract from]'],True,"{'model__n_neighbors': 12, 'model__p': 1, 'model__weights': 'distance'}"
None,XGBoost,0.8532608695652174,0.8640776699029126,0.8725490196078431,0.8682926829268293,0.9371114299378288,['[No selector to extract from]'],True,"{'model__subsample': 0.8, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}"
None,Default Voting,0.8532608695652174,0.8571428571428571,0.8823529411764706,0.8695652173913043,0.9225251076040173,['[No selector to extract from]'],False,Default base learners
None,Default Stacking,0.8478260869565217,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.915351506456241,['[No selector to extract from]'],False,Default base learners
None,Optimized Stacking,0.8369565217391305,0.8461538461538461,0.8627450980392157,0.8543689320388349,0.9218077474892397,['[No selector to extract from]'],True,"{'model__final_estimator__learning_rate': 0.01, 'model__final_estimator__max_depth': 2, 'model__final_estimator__n_estimators': 200, 'model__passthrough': False}"
Chi2,LogReg,0.8369565217391305,0.875,0.8235294117647058,0.8484848484848485,0.9099115255858441,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'model__C': np.float64(0.17066305219717406), 'model__penalty': 'l2', 'model__solver': 'newton-cg'}"
Chi2,DecTree,0.8206521739130435,0.8791208791208791,0.7843137254901961,0.8290155440414507,0.8927546628407461,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'model__max_depth': 20, 'model__max_features': 'log2', 'model__min_samples_leaf': 7, 'model__min_samples_split': 15}"
Chi2,RandForest,0.8532608695652174,0.8865979381443299,0.8431372549019608,0.864321608040201,0.935856049736968,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'model__n_estimators': 300, 'model__min_samples_split': 10, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': 20}"
Chi2,SVM,0.8315217391304348,0.865979381443299,0.8235294117647058,0.8442211055276382,0.9085963653754185,"['sex', 'cp', 'thalach', 'exang', 'slope', 'ca', 'thal', 'src_hungarian', 'src_switzerland', 'src_va']",True,"{'model__C': np.float64(6.903075385877797), 'model__gamma': 'scale', 'model__kernel': 'linear'}"
