Selector,Model,MSE,RMSE,MAE,R2,ExplainedVar,Selected Features,Tuned,Tuning Info
None,LinReg,95.97548435337703,9.796707832398445,7.745392872421345,0.6275416055429022,0.6275428648103831,"['Cement', 'BlastFurnaceSlag', 'FlyAsh', 'Water', 'Superplasticizer', 'CoarseAggregate', 'FineAggregate', 'Age']",True,"{'best_params': {'model__positive': False, 'model__fit_intercept': True}, 'best_score': np.float64(115.6092515889337)}"
None,DecTree,53.94686452882555,7.344852927651142,5.04171008008883,0.7906448434850339,0.7956095678054019,"['Cement', 'BlastFurnaceSlag', 'FlyAsh', 'Water', 'Superplasticizer', 'CoarseAggregate', 'FineAggregate', 'Age']",True,"{'best_params': {'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_leaf': 3, 'model__min_samples_split': 13}, 'best_score': np.float64(56.86037487534802)}"
None,RandForest,29.294013764293364,5.412394457566204,3.7822890372262825,0.8863167880072395,0.8894386407395329,"['Cement', 'BlastFurnaceSlag', 'FlyAsh', 'Water', 'Superplasticizer', 'CoarseAggregate', 'FineAggregate', 'Age']",True,"{'best_params': {'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 30}, 'best_score': np.float64(29.610330652596122)}"
None,SVR,54.01841772479841,7.349722288957482,5.50066730983652,0.7903671622764432,0.7915470975531227,"['Cement', 'BlastFurnaceSlag', 'FlyAsh', 'Water', 'Superplasticizer', 'CoarseAggregate', 'FineAggregate', 'Age']",True,"{'best_params': {'model__C': np.float64(7.896910002727692), 'model__epsilon': np.float64(0.3084250789732435), 'model__kernel': 'rbf'}, 'best_score': np.float64(59.90920051436438)}"
None,KNN,58.638021741080024,7.657546718178089,5.694260664297371,0.7724395601755086,0.7826817617266144,"['Cement', 'BlastFurnaceSlag', 'FlyAsh', 'Water', 'Superplasticizer', 'CoarseAggregate', 'FineAggregate', 'Age']",True,"{'best_params': {'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'distance'}, 'best_score': np.float64(74.58730105598583)}"
None,XGBoost,18.034297273986454,4.246680736055685,2.9264329017541937,0.9300131126913697,0.9310188859196193,"['Cement', 'BlastFurnaceSlag', 'FlyAsh', 'Water', 'Superplasticizer', 'CoarseAggregate', 'FineAggregate', 'Age']",True,"{'best_params': {'model__subsample': 0.8, 'model__n_estimators': 250, 'model__max_depth': 5, 'model__learning_rate': 0.08, 'model__colsample_bytree': 0.9}, 'best_score': np.float64(20.336733427381656)}"
None,Voting,27.180477289145472,5.213489933733974,3.8124525252501558,0.8945189284544984,0.8970181271870218,"['Cement', 'BlastFurnaceSlag', 'FlyAsh', 'Water', 'Superplasticizer', 'CoarseAggregate', 'FineAggregate', 'Age']",True,"{'best_params': {'model__weights': [1, 1, 3, 1, 1, 3]}, 'best_score': np.float64(29.056905061992325)}"
None,Stacking,17.736492314959072,4.211471514204871,2.8554535545387623,0.931168824044618,0.9317200345024197,"['Cement', 'BlastFurnaceSlag', 'FlyAsh', 'Water', 'Superplasticizer', 'CoarseAggregate', 'FineAggregate', 'Age']",False,No tuning performed
FReg,LinReg,115.94533577012122,10.767791592063864,8.783564620543391,0.5500432855673425,0.5508431467461838,"['Cement', 'Water', 'Superplasticizer', 'CoarseAggregate', 'Age']",True,"{'best_params': {'model__positive': False, 'model__fit_intercept': True}, 'best_score': np.float64(149.03015720324328)}"
FReg,DecTree,60.54418232653239,7.781014222229156,5.926808551147455,0.7650421970257596,0.766973047271501,"['Cement', 'Water', 'Superplasticizer', 'CoarseAggregate', 'Age']",True,"{'best_params': {'model__max_depth': 10, 'model__max_features': None, 'model__min_samples_leaf': 5, 'model__min_samples_split': 10}, 'best_score': np.float64(71.4827643430559)}"
FReg,RandForest,37.78237452299503,6.1467369004208265,4.474833066807478,0.853375446360888,0.8538339109449803,"['Cement', 'Water', 'Superplasticizer', 'CoarseAggregate', 'Age']",True,"{'best_params': {'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 1, 'model__max_features': 'log2', 'model__max_depth': 30}, 'best_score': np.float64(42.00149053380045)}"
FReg,SVR,63.676688644287644,7.979767455526987,6.236336225877668,0.7528856730801028,0.7555395276212257,"['Cement', 'Water', 'Superplasticizer', 'CoarseAggregate', 'Age']",True,"{'best_params': {'model__C': np.float64(7.896910002727692), 'model__epsilon': np.float64(0.3084250789732435), 'model__kernel': 'rbf'}, 'best_score': np.float64(74.868354472391)}"
